mouthpiece,boreLength,boreDiameter,boreWeight,numberOfHoles,distanceHole,diameterHole,hole,folder,soundPiece
"0,07","0,278","0,0115","0,004",6,0,,0,dafnis/dafnis_LPlus,aulos_dafnisLPlusL1
"0,07","0,278","0,0115","0,004",6,"0,164","0,007",1,dafnis/dafnis_LPlus,aulos_dafnisLPlusL2
"0,07","0,278","0,0115","0,004",6,"0,1395","0,007",2,dafnis/dafnis_LPlus,aulos_dafnisLPlusL3
"0,07","0,278","0,0115","0,004",6,"0,116","0,007",3,dafnis/dafnis_LPlus,aulos_dafnisLPlusL4
"0,07","0,278","0,0115","0,004",6,"0,093","0,007",4,dafnis/dafnis_LPlus,aulos_dafnisLPlusL5
"0,07","0,278","0,0115","0,004",6,"0,068","0,007",5,dafnis/dafnis_LPlus,aulos_dafnisLPlusL6
"0,07","0,278","0,0115","0,004",6,"0,036","0,007",6,dafnis/dafnis_LPlus,aulos_dafnisLPlusL7
"0,07","0,278","0,0115","0,004",6,1,0,0,,
"0,07","0,278","0,0115","0,004",6,1,"0,007",1,,
"0,07","0,278","0,0115","0,004",6,1,"0,007",2,,
"0,07","0,278","0,0115","0,004",6,1,"0,007",3,,
"0,07","0,278","0,0115","0,004",6,1,"0,007",4,,
"0,07","0,278","0,0115","0,004",6,1,"0,007",5,,
"0,07","0,278","0,0115","0,004",6,1,"0,007",6,,
"0,07","0,278","0,0115","0,004",6,2,0,0,,
"0,07","0,278","0,0115","0,004",6,2,"0,007",1,,
"0,07","0,278","0,0115","0,004",6,2,"0,007",2,,
"0,07","0,278","0,0115","0,004",6,2,"0,007",3,,
"0,07","0,278","0,0115","0,004",6,2,"0,007",4,,
"0,07","0,278","0,0115","0,004",6,2,"0,007",5,,
"0,07","0,278","0,0115","0,004",6,2,"0,007",6,,
"0,07","0,278","0,0115","0,004",6,3,0,0,,
"0,07","0,278","0,0115","0,004",6,3,"0,007",1,,
"0,07","0,278","0,0115","0,004",6,3,"0,007",2,,
"0,07","0,278","0,0115","0,004",6,3,"0,007",3,,
"0,07","0,278","0,0115","0,004",6,3,"0,007",4,,
"0,07","0,278","0,0115","0,004",6,3,"0,007",5,,
"0,07","0,278","0,0115","0,004",6,3,"0,007",6,,
"0,07","0,274","0,0115","0,004",6,0,0,0,dafnis/dafnisL_L_Plusn,aulos_dafnisLPlusnL1
"0,07","0,274","0,0115","0,004",6,"0,164","0,007",1,dafnis/dafnisL_L_Plusn,aulos_dafnisLPlusnL2
"0,07","0,274","0,0115","0,004",6,"0,1395","0,007",2,dafnis/dafnisL_L_Plusn,aulos_dafnisLPlusnL3
